sep=,
header, start_column, end_column
close_, 0, 167
exposure_, 168, 174
high_, 175, 342
i_o_t_AU_, 343, 510
i_o_t_BR_, 511, 678
i_o_t_CA_, 679, 846
i_o_t_CN_, 847, 1014
i_o_t_DE_, 1015, 1182
i_o_t_FR_, 1183, 1350
i_o_t_GB_, 1351, 1518
i_o_t_GH_, 1519, 1686
i_o_t_IN_, 1687, 1854
i_o_t_JP_, 1855, 2022
i_o_t_KE_, 2023, 2190
i_o_t_KR_, 2191, 2358
i_o_t_NG_, 2359, 2526
i_o_t_RU_, 2527, 2694
i_o_t_SG_, 2695, 2862
i_o_t_US_, 2863, 3030
i_o_t_VE_, 3031, 3198
i_o_t_ZA_, 3199, 3366
low_, 3367, 3534
name, 3535, 3535
open_, 3536, 3703
retweets_, 3704, 3710
tweets_, 3711, 3717
volume_from_, 3718, 3885
volume_to_, 3886, 4053